Estado,OSIG,n_personas,ingreso_laboral,consumo,ISR,IVA,Total aportacion
Yucatán,gay,29881.0,214755267.0,481059513.0,13128277.0,7515786.0,20644063.0
Yucatán,otro,7663.0,42682704.0,146986796.0,3456805.0,3006461.0,6463265.0
Zacatecas,Lesbiana,10660.0,65003422.0,182335564.0,4458872.0,2661729.0,7120602.0
Zacatecas,Normativo,1103069.0,6889274002.0,19529486619.0,575930072.0,344683415.0,920613486.0
Zacatecas,T+,8867.0,35800165.0,141766701.0,2565603.0,2605178.0,5170781.0
Zacatecas,bisexual,33501.0,135086422.0,603770408.0,9952665.0,7978600.0,17931265.0
Zacatecas,gay,18247.0,113376596.0,291416493.0,6062763.0,4418890.0,10481653.0
Zacatecas,otro,3992.0,9169223.0,79756703.0,613900.0,1011008.0,1624908.0
Nacional,Lesbiana,439018.0,2667499058.0,7785127926.0,211930791.0,137908475.0,349839269.0
Nacional,Normativo,92233141.0,568782123693.0,1631822663701.0,46450517216.0,27595740855.0,74046258049.0
Nacional,T+,908586.0,4287488497.0,15337571290.0,284306762.0,203965879.0,488272642.0
Nacional,bisexual,2169375.0,9581804691.0,40854615960.0,626718860.0,499265885.0,1125984744.0
Nacional,gay,1085883.0,8087504109.0,20579811468.0,686773809.0,332477672.0,1019251480.0
Nacional,otro,396686.0,1765956035.0,7173234813.0,123026943.0,94809135.0,217836078.0
