ingreso_laboral,consumo,OSIG,n_personas,ISR,IVA,Total aportacion,Estado
8931.0,21930.031,Normativo,1147.0,788.94568,248.03979,1036.9855,Aguascalientes
3059.353,15806.969,Normativo,540.0,178.3392,373.62067,551.95984,Aguascalientes
2359.9485,16915.947,Normativo,540.0,0.0,208.86269,208.86269,Aguascalientes
10989.38,22524.998,Normativo,1434.0,1204.2599,313.65161,1517.9115,Aguascalientes
4429.6875,9921.8262,Normativo,836.0,0.0,271.34537,271.34537,Aguascalientes
2970.9756,10824.118,Normativo,557.0,0.0,210.72348,210.72348,Aguascalientes
4719.6021,22755.672,Normativo,1184.0,291.8605,287.61435,579.47485,Aguascalientes
7908.9697,13752.53,bisexual,557.0,658.12366,267.73392,925.85754,Aguascalientes
1780.0964,14523.784,Normativo,532.0,0.0,282.74869,282.74869,Aguascalientes
933.94214,13709.503,bisexual,798.0,33.01194,112.72231,145.73425,Aguascalientes
6456.7236,20964.57,Normativo,532.0,480.82971,252.20341,733.03314,Aguascalientes
6990.0137,22979.553,Normativo,1413.0,545.93518,201.8112,747.7464,Aguascalientes
7992.5117,22281.973,Normativo,1124.0,668.32275,252.02048,920.34326,Aguascalientes
2295.9412,13752.025,Normativo,529.0,126.14008,267.72406,393.86414,Aguascalientes
7130.0107,19688.352,Normativo,1058.0,563.02637,233.52911,796.55548,Aguascalientes
8263.123,12169.598,Normativo,562.0,0.0,287.64597,287.64597,Aguascalientes
2084.5522,12114.635,Normativo,328.0,111.68613,654.0166,765.70276,Aguascalientes
9294.8477,22448.303,Normativo,656.0,858.24994,280.69983,1138.9497,Aguascalientes
5653.8511,17365.186,Normativo,697.0,382.81299,272.59787,655.41089,Aguascalientes
14962.16,30182.348,Normativo,656.0,2231.3777,587.58923,2818.9668,Aguascalientes
8914.9727,12629.15,otro,328.0,785.89282,681.79297,1467.6858,Aguascalientes
2490.363,17257.574,Normativo,277.0,139.43388,473.16461,612.59851,Aguascalientes
